Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
01-12-2025,15:00,KAPPA SYNTH NV,XX0000000013,EAM,XAMS,-25,"20,0000",EUR,"500,00",EUR,"500,00","1,0000","0,00","-2,00","498,00",,66666666-6666-6666-6666-666666666666
01-12-2025,09:00,IOTA SYNTH NV,XX0000000012,EAM,XAMS,20,"25,0000",EUR,"-500,00",EUR,"-500,00","1,0000","0,00","-2,00","-502,00",,55555555-5555-5555-5555-555555555555
01-11-2025,00:00,THETA SYNTH NV,XX0000000011,EAM,,120,"3,0000",EUR,"-360,00",EUR,"-360,00","1,0000","0,00","0,00","-360,00",,
01-11-2025,00:00,THETA SYNTH NV,XX0000000011,EAM,,-60,"6,0000",EUR,"360,00",EUR,"360,00","1,0000","0,00","0,00","360,00",,
01-10-2025,00:00,ZETA SYNTH NV,XX0000000010,EAM,,3,"0,0000",EUR,"0,00",EUR,"0,00","1,0000","0,00","0,00","0,00",,
01-10-2025,00:00,EPSILON TURBO LONG,XX0000000009,EAM,,-500,"0,0000",EUR,"0,00",EUR,"0,00","1,0000","0,00","0,00","0,00",,
01-09-2025,00:00,DELTA SYNTH PLC,XX0000000008,EAM,,30,"0,0000",EUR,"0,00",EUR,"0,00","1,0000","0,00","0,00","0,00",,
01-09-2025,00:00,DELTA INSCHRIJVING,XX0000000007,EAM,,-30,"0,0000",EUR,"0,00",EUR,"0,00","1,0000","0,00","0,00","0,00",,
01-08-2025,00:00,GAMMA SYNTH SA NEW,XX0000000006,EAM,,10,"100,0000",EUR,"-1.000,00",EUR,"-1.000,00","1,0000","0,00","0,00","-1.000,00",,
01-08-2025,00:00,GAMMA SYNTH SA,XX0000000005,EAM,,-40,"25,0000",EUR,"1.000,00",EUR,"1.000,00","1,0000","0,00","0,00","1.000,00",,
01-07-2025,00:00,BETA GROUP NV,XX0000000004,EAM,,50,"8,0000",EUR,"-400,01",EUR,"-400,01","1,0000","0,00","0,00","-400,01",,
01-07-2025,00:00,BETA HOLDINGS NV,XX0000000003,EAM,,-50,"8,0000",EUR,"400,00",EUR,"400,00","1,0000","0,00","0,00","400,00",,
01-06-2025,00:00,ALPHA SYNTH NV NEW,XX0000000002,EAM,,20,"150,0000",EUR,"-3.000,00",EUR,"-3.000,00","1,0000","0,00","0,00","-3.000,00",,
01-06-2025,00:00,ALPHA SYNTH NV,XX0000000001,EAM,,-200,"15,0000",EUR,"3.000,00",EUR,"3.000,00","1,0000","0,00","0,00","3.000,00",,
01-05-2025,09:00,THETA SYNTH NV,XX0000000011,EAM,XAMS,60,"5,0000",EUR,"-300,00",EUR,"-300,00","1,0000","0,00","-1,00","-301,00",,44444444-4444-4444-4444-444444444444
01-04-2025,09:00,BETA HOLDINGS NV,XX0000000003,EAM,XAMS,50,"6,0000",EUR,"-300,00",EUR,"-300,00","1,0000","0,00","-1,00","-301,00",,33333333-3333-3333-3333-333333333333
01-03-2025,09:00,ALPHA SYNTH NV,XX0000000001,EAM,XAMS,100,"12,0000",EUR,"-1.200,00",EUR,"-1.200,00","1,0000","0,00","-2,00","-1.202,00",,22222222-2222-2222-2222-222222222222
01-02-2025,09:00,ALPHA SYNTH NV,XX0000000001,EAM,XAMS,100,"10,0000",EUR,"-1.000,00",EUR,"-1.000,00","1,0000","0,00","-2,00","-1.002,00",,11111111-1111-1111-1111-111111111111
