▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1001ms
 GET /test-500-error 200 in 1861ms (compile: 1626ms, proxy.ts: 121ms, render: 114ms)
 GET /api/health 200 in 566ms (compile: 395ms, proxy.ts: 6ms, render: 165ms)
 GET /api/health 200 in 491ms (compile: 322ms, proxy.ts: 8ms, render: 160ms)
 GET /test-500-error 404 in 545ms (compile: 491ms, proxy.ts: 6ms, render: 49ms)
 GET /api/test-500?type=json 500 in 164ms (compile: 152ms, proxy.ts: 6ms, render: 6ms)
 GET /api/test-500?type=details 500 in 12ms (compile: 3ms, proxy.ts: 5ms, render: 4ms)
 GET /api/health?persistence_test=regression_test_f3 200 in 378ms (compile: 5ms, proxy.ts: 6ms, render: 367ms)
 GET /test-500-error 200 in 34ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET /test-500-error 200 in 48ms (compile: 4ms, proxy.ts: 5ms, render: 39ms)
 GET /api/health 404 in 49ms (compile: 10ms, proxy.ts: 5ms, render: 34ms)
 GET /api/test-500?type=json 404 in 43ms (compile: 8ms, proxy.ts: 6ms, render: 29ms)
 GET /api/health 404 in 42ms (compile: 8ms, proxy.ts: 4ms, render: 30ms)
[?25h
