▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1001ms
⚠ Cross origin request detected from 127.0.0.1 to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET /test-chat-timeout 200 in 1725ms (compile: 1504ms, proxy.ts: 122ms, render: 100ms)
 GET /test-chat-timeout 200 in 318ms (compile: 125ms, proxy.ts: 121ms, render: 72ms)
 GET /test-chat-timeout 200 in 95ms (compile: 4ms, proxy.ts: 15ms, render: 76ms)
 GET /test-chat-timeout 200 in 39ms (compile: 5ms, proxy.ts: 9ms, render: 25ms)
 GET /api/ai/chat-test-timeout?mode=error 405 in 484ms (compile: 347ms, proxy.ts: 128ms, render: 9ms)
 GET /test-chat-timeout 200 in 129ms (compile: 5ms, proxy.ts: 5ms, render: 118ms)
 GET /test-chat-timeout 200 in 51ms (compile: 6ms, proxy.ts: 6ms, render: 39ms)
 GET /test-chat-timeout 200 in 32ms (compile: 6ms, proxy.ts: 7ms, render: 19ms)
 GET /test-chat-timeout 200 in 43ms (compile: 4ms, proxy.ts: 4ms, render: 34ms)
 GET /test-chat-timeout 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /test-chat-timeout 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 6ms, render: 16ms)
 GET /test-chat-timeout 200 in 48ms (compile: 2ms, proxy.ts: 4ms, render: 42ms)
 GET /test-chat-timeout 200 in 45ms (compile: 4ms, proxy.ts: 4ms, render: 37ms)
 GET /test-chat-timeout 200 in 32ms (compile: 2ms, proxy.ts: 4ms, render: 25ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 37ms (compile: 4ms, proxy.ts: 4ms, render: 30ms)
 GET /test-chat-timeout 200 in 39ms (compile: 3ms, proxy.ts: 6ms, render: 30ms)
 GET /test-chat-timeout 200 in 38ms (compile: 2ms, proxy.ts: 4ms, render: 32ms)
 GET /test-chat-timeout 200 in 41ms (compile: 2ms, proxy.ts: 4ms, render: 35ms)
 GET /test-chat-timeout 200 in 40ms (compile: 3ms, proxy.ts: 6ms, render: 31ms)
 GET /test-chat-timeout 200 in 47ms (compile: 3ms, proxy.ts: 4ms, render: 40ms)
 GET /test-chat-timeout 200 in 48ms (compile: 3ms, proxy.ts: 4ms, render: 41ms)
 GET /test-chat-timeout 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 18ms)
 GET /test-chat-timeout 200 in 47ms (compile: 6ms, proxy.ts: 6ms, render: 36ms)
 GET /test-chat-timeout 200 in 40ms (compile: 3ms, proxy.ts: 4ms, render: 33ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 38ms)
 GET /test-chat-timeout 200 in 43ms (compile: 3ms, proxy.ts: 4ms, render: 36ms)
 GET /test-chat-timeout 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 49ms (compile: 3ms, proxy.ts: 6ms, render: 40ms)
 GET /test-chat-timeout 200 in 53ms (compile: 4ms, proxy.ts: 6ms, render: 42ms)
 GET /test-chat-timeout 200 in 49ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
 GET /test-chat-timeout 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 3ms, proxy.ts: 6ms, render: 21ms)
 GET /test-chat-timeout 200 in 53ms (compile: 5ms, proxy.ts: 5ms, render: 43ms)
 GET /test-chat-timeout 200 in 56ms (compile: 3ms, proxy.ts: 4ms, render: 48ms)
 GET /test-chat-timeout 200 in 52ms (compile: 4ms, proxy.ts: 6ms, render: 42ms)
 GET /test-chat-timeout 200 in 46ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET /test-chat-timeout 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 21ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-chat-timeout 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 24ms (compile: 4ms, proxy.ts: 3ms, render: 16ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 34ms (compile: 6ms, proxy.ts: 3ms, render: 24ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 3ms, render: 20ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 25ms (compile: 5ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 33ms (compile: 3ms, proxy.ts: 4ms, render: 26ms)
 GET /test-chat-timeout 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 25ms (compile: 4ms, proxy.ts: 3ms, render: 18ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-chat-timeout 200 in 38ms (compile: 3ms, proxy.ts: 5ms, render: 30ms)
 GET /test-chat-timeout 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 45ms (compile: 3ms, proxy.ts: 7ms, render: 34ms)
 GET /test-chat-timeout 200 in 27ms (compile: 3ms, proxy.ts: 3ms, render: 21ms)
 GET /test-chat-timeout 200 in 59ms (compile: 4ms, proxy.ts: 5ms, render: 50ms)
 GET /test-chat-timeout 200 in 34ms (compile: 11ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
 GET /test-chat-timeout 200 in 55ms (compile: 5ms, proxy.ts: 9ms, render: 42ms)
 GET /test-chat-timeout 200 in 54ms (compile: 8ms, proxy.ts: 4ms, render: 42ms)
 GET /test-chat-timeout 200 in 33ms (compile: 4ms, proxy.ts: 7ms, render: 22ms)
 GET /test-chat-timeout 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 6ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 43ms (compile: 4ms, proxy.ts: 6ms, render: 34ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 36ms (compile: 3ms, proxy.ts: 5ms, render: 28ms)
 GET /test-chat-timeout 200 in 22ms (compile: 2ms, proxy.ts: 4ms, render: 16ms)
 GET /test-chat-timeout 200 in 24ms (compile: 4ms, proxy.ts: 5ms, render: 15ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 58ms (compile: 3ms, proxy.ts: 4ms, render: 51ms)
 GET /test-chat-timeout 200 in 42ms (compile: 3ms, proxy.ts: 6ms, render: 32ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 45ms (compile: 3ms, proxy.ts: 6ms, render: 36ms)
 GET /test-chat-timeout 200 in 44ms (compile: 4ms, proxy.ts: 6ms, render: 35ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 31ms (compile: 5ms, proxy.ts: 6ms, render: 20ms)
 GET /test-chat-timeout 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET /test-chat-timeout 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 6ms, render: 17ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET /test-chat-timeout 200 in 46ms (compile: 5ms, proxy.ts: 5ms, render: 37ms)
 GET /test-chat-timeout 200 in 43ms (compile: 4ms, proxy.ts: 4ms, render: 35ms)
 GET /test-chat-timeout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 48ms (compile: 3ms, proxy.ts: 4ms, render: 41ms)
 GET /test-chat-timeout 200 in 25ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /test-chat-timeout 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 44ms (compile: 4ms, proxy.ts: 4ms, render: 35ms)
 GET /test-chat-timeout 200 in 41ms (compile: 4ms, proxy.ts: 4ms, render: 33ms)
 GET /test-chat-timeout 200 in 27ms (compile: 2ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 35ms (compile: 5ms, proxy.ts: 7ms, render: 24ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 6ms, render: 17ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 19ms)
 GET /test-chat-timeout 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-chat-timeout 200 in 23ms (compile: 5ms, proxy.ts: 4ms, render: 15ms)
 GET /test-chat-timeout 200 in 25ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-chat-timeout 200 in 32ms (compile: 3ms, proxy.ts: 3ms, render: 26ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /test-chat-timeout 200 in 20ms (compile: 3ms, proxy.ts: 3ms, render: 14ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-chat-timeout 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 15ms)
 GET /test-chat-timeout 200 in 24ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /test-chat-timeout 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-chat-timeout 200 in 38ms (compile: 3ms, proxy.ts: 4ms, render: 31ms)
 GET /test-chat-timeout 200 in 24ms (compile: 4ms, proxy.ts: 3ms, render: 17ms)
 GET /test-chat-timeout 200 in 21ms (compile: 3ms, proxy.ts: 3ms, render: 15ms)
 GET /test-chat-timeout 200 in 28ms (compile: 3ms, proxy.ts: 3ms, render: 22ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 33ms (compile: 7ms, proxy.ts: 5ms, render: 21ms)
 GET /test-chat-timeout 200 in 23ms (compile: 6ms, proxy.ts: 4ms, render: 13ms)
 GET /test-chat-timeout 200 in 40ms (compile: 3ms, proxy.ts: 4ms, render: 33ms)
 GET /test-chat-timeout 200 in 45ms (compile: 3ms, proxy.ts: 18ms, render: 24ms)
 GET /test-chat-timeout 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /test-chat-timeout 200 in 33ms (compile: 3ms, proxy.ts: 4ms, render: 26ms)
 GET /test-chat-timeout 200 in 30ms (compile: 4ms, proxy.ts: 7ms, render: 19ms)
 GET /test-chat-timeout 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-chat-timeout 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
