
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 948ms
 GET /api/health 200 in 643ms (compile: 308ms, proxy.ts: 109ms, render: 226ms)
 GET /api/health 200 in 93ms (compile: 3ms, proxy.ts: 6ms, render: 83ms)
 GET /api/health 200 in 179ms (compile: 3ms, proxy.ts: 7ms, render: 170ms)
 GET / 200 in 1957ms (compile: 1798ms, proxy.ts: 4ms, render: 156ms)
✓ Compiled in 113ms
 GET /api/dev-login 200 in 181ms (compile: 145ms, proxy.ts: 28ms, render: 8ms)
 GET /login 200 in 776ms (compile: 679ms, proxy.ts: 6ms, render: 91ms)
✓ Compiled in 248ms
 GET /login 200 in 261ms (compile: 155ms, proxy.ts: 36ms, render: 70ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 4ms, render: 45ms)
 GET /login 200 in 50ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 8ms, render: 22ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 28ms (compile: 6ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 26ms (compile: 5ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 44ms (compile: 5ms, proxy.ts: 5ms, render: 34ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 35ms (compile: 3ms, proxy.ts: 3ms, render: 29ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 51ms (compile: 5ms, proxy.ts: 4ms, render: 43ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 51ms (compile: 5ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 25ms (compile: 4ms, proxy.ts: 3ms, render: 18ms)
 GET /login 200 in 23ms (compile: 3ms, proxy.ts: 6ms, render: 15ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 20ms (compile: 3ms, proxy.ts: 3ms, render: 14ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 43ms (compile: 3ms, proxy.ts: 4ms, render: 37ms)
 GET /login 200 in 40ms (compile: 3ms, proxy.ts: 8ms, render: 28ms)
 GET /login 200 in 22ms (compile: 2ms, proxy.ts: 4ms, render: 15ms)
 GET /login 200 in 37ms (compile: 2ms, proxy.ts: 5ms, render: 30ms)
 GET /login 200 in 25ms (compile: 2ms, proxy.ts: 3ms, render: 20ms)
 GET /login 200 in 46ms (compile: 4ms, proxy.ts: 4ms, render: 38ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 34ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 43ms (compile: 3ms, proxy.ts: 4ms, render: 35ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 47ms (compile: 5ms, proxy.ts: 4ms, render: 38ms)
 GET /login 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 28ms (compile: 2ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 3ms, render: 21ms)
