
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 970ms
 GET /api/health 200 in 831ms (compile: 444ms, proxy.ts: 120ms, render: 267ms)
 GET /api/verify-concurrent-edit 200 in 238ms (compile: 221ms, proxy.ts: 6ms, render: 11ms)
 GET /test-freedom-card 200 in 1533ms (compile: 1320ms, proxy.ts: 6ms, render: 208ms)
 GET /login?expired=1 200 in 2.4s (compile: 2.2s, proxy.ts: 115ms, render: 110ms)
 GET /api/health 200 in 193ms (compile: 4ms, proxy.ts: 7ms, render: 182ms)
 GET /api/dev-login 200 in 149ms (compile: 141ms, proxy.ts: 5ms, render: 4ms)
 GET /test-freedom-card 200 in 41ms (compile: 4ms, proxy.ts: 6ms, render: 32ms)
 GET /test-onboarding-validation 200 in 443ms (compile: 393ms, proxy.ts: 4ms, render: 46ms)
 GET / 200 in 507ms (compile: 425ms, proxy.ts: 4ms, render: 78ms)
 GET /test-negative-validation 200 in 341ms (compile: 305ms, proxy.ts: 6ms, render: 31ms)
 GET /test-onboarding-validation 200 in 46ms (compile: 4ms, proxy.ts: 6ms, render: 36ms)
 GET /login?redirectTo=%2Fdashboard 200 in 64ms (compile: 6ms, proxy.ts: 5ms, render: 54ms)
 GET /test-negative-validation 200 in 66ms (compile: 5ms, proxy.ts: 5ms, render: 56ms)
 GET /test-concurrent-edit 200 in 429ms (compile: 366ms, proxy.ts: 5ms, render: 59ms)
 GET /api/verify-concurrent-edit 200 in 15ms (compile: 3ms, proxy.ts: 6ms, render: 5ms)
 GET /test-session-expiry 200 in 355ms (compile: 308ms, proxy.ts: 6ms, render: 41ms)
 GET /api/verify-session-expiry?test=component-exists 200 in 181ms (compile: 170ms, proxy.ts: 7ms, render: 4ms)
 GET /login?expired=1&redirectTo=%2Fdashboard 200 in 47ms (compile: 4ms, proxy.ts: 7ms, render: 35ms)
 GET /api/verify-session-expiry?test=api-401 200 in 13ms (compile: 3ms, proxy.ts: 6ms, render: 3ms)
 GET /api/verify-session-expiry?test=modal-elements 200 in 10ms (compile: 3ms, proxy.ts: 4ms, render: 3ms)
 GET /api/verify-session-expiry?test=layout-integration 200 in 12ms (compile: 4ms, proxy.ts: 3ms, render: 5ms)
 GET /api/verify-session-expiry?test=no-raw-errors 200 in 11ms (compile: 2ms, proxy.ts: 3ms, render: 6ms)
 GET /api/verify-session-expiry?test=redirect-preserved 200 in 8ms (compile: 1772µs, proxy.ts: 4ms, render: 3ms)
 GET /login?redirectTo=%2Fcore%2Fassets%2Fholdings 200 in 83ms (compile: 4ms, proxy.ts: 6ms, render: 72ms)
 GET /api/health 200 in 204ms (compile: 6ms, proxy.ts: 5ms, render: 193ms)
 GET /api/verify-schema 200 in 2.5s (compile: 87ms, proxy.ts: 5ms, render: 2.4s)
 GET /api/schema-check 200 in 6.3s (compile: 118ms, proxy.ts: 4ms, render: 6.2s)
 GET /api/test-schema-validation 200 in 107ms (compile: 100ms, proxy.ts: 4ms, render: 4ms)
 GET /api/health?persistence_test=RESTART_TEST_12345 200 in 392ms (compile: 2ms, proxy.ts: 3ms, render: 386ms)
 GET /api/health?persistence_test=RESTART_TEST_12345 200 in 482ms (compile: 4ms, proxy.ts: 4ms, render: 473ms)
