▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 990ms
 GET /api/verify-discover-carousel 200 in 960ms (compile: 364ms, proxy.ts: 143ms, render: 453ms)
 GET /api/dev-login 200 in 163ms (compile: 152ms, proxy.ts: 7ms, render: 4ms)
 GET /test-discover-carousel 200 in 1861ms (compile: 1731ms, proxy.ts: 4ms, render: 126ms)
 GET /api/verify-budget-trend 200 in 139ms (compile: 124ms, proxy.ts: 5ms, render: 9ms)
 GET /api/dev-login 200 in 14ms (compile: 2ms, proxy.ts: 8ms, render: 3ms)
 GET /test-discover-carousel 200 in 68ms (compile: 4ms, proxy.ts: 6ms, render: 59ms)
 GET /api/verify-discover-carousel 200 in 349ms (compile: 5ms, proxy.ts: 9ms, render: 335ms)
 GET /api/verify-budget-trend 200 in 14ms (compile: 5ms, proxy.ts: 5ms, render: 4ms)
 GET /api/health 200 in 381ms (compile: 171ms, proxy.ts: 8ms, render: 202ms)
 GET /test-budget-trend 200 in 465ms (compile: 407ms, proxy.ts: 5ms, render: 52ms)
 GET /api/verify-budget-trend 200 in 14ms (compile: 4ms, proxy.ts: 5ms, render: 5ms)
 GET /api/health 200 in 195ms (compile: 9ms, proxy.ts: 5ms, render: 182ms)
 GET /login 200 in 648ms (compile: 538ms, proxy.ts: 8ms, render: 102ms)
 GET / 200 in 548ms (compile: 458ms, proxy.ts: 10ms, render: 80ms)
 GET /api/health 200 in 227ms (compile: 3ms, proxy.ts: 4ms, render: 220ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 6ms, render: 39ms)
 GET /login?redirectTo=%2Fcore%2Fbudgets 200 in 53ms (compile: 5ms, proxy.ts: 5ms, render: 43ms)
 GET / 200 in 232ms (compile: 88ms, proxy.ts: 62ms, render: 83ms)
 GET / 200 in 83ms (compile: 6ms, proxy.ts: 7ms, render: 71ms)
 GET / 200 in 82ms (compile: 4ms, proxy.ts: 9ms, render: 69ms)
 GET / 200 in 64ms (compile: 7ms, proxy.ts: 8ms, render: 49ms)
 GET / 200 in 52ms (compile: 4ms, proxy.ts: 8ms, render: 40ms)
 GET / 200 in 45ms (compile: 2ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 50ms (compile: 5ms, proxy.ts: 5ms, render: 40ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 8ms, render: 40ms)
 GET / 200 in 45ms (compile: 5ms, proxy.ts: 4ms, render: 35ms)
 GET / 200 in 37ms (compile: 3ms, proxy.ts: 4ms, render: 31ms)
 GET / 200 in 37ms (compile: 1888µs, proxy.ts: 3ms, render: 32ms)
 GET / 200 in 38ms (compile: 2ms, proxy.ts: 3ms, render: 33ms)
 GET / 200 in 36ms (compile: 5ms, proxy.ts: 3ms, render: 28ms)
