
> fin@0.2.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1420ms
 GET /test-box3-verification 200 in 3.5s (compile: 3.0s, proxy.ts: 177ms, render: 266ms)
 GET /api/verify-box3?year=2025 200 in 623ms (compile: 442ms, proxy.ts: 17ms, render: 164ms)
 GET /api/verify-schema 200 in 2.8s (compile: 416ms, proxy.ts: 9ms, render: 2.3s)
 GET /api/verify-feature-visit-persistence 200 in 663ms (compile: 358ms, proxy.ts: 14ms, render: 292ms)
 GET /api/health 200 in 529ms (compile: 333ms, proxy.ts: 15ms, render: 181ms)
 GET /test-box3-verification 200 in 317ms (compile: 174ms, proxy.ts: 44ms, render: 99ms)
 GET /test-box3-verification 200 in 74ms (compile: 7ms, proxy.ts: 18ms, render: 49ms)
 GET /test-box3-verification 200 in 52ms (compile: 4ms, proxy.ts: 12ms, render: 36ms)
 GET /test-box3-verification 200 in 55ms (compile: 8ms, proxy.ts: 10ms, render: 37ms)
 GET /test-box3-verification 200 in 79ms (compile: 10ms, proxy.ts: 10ms, render: 59ms)
 GET /test-box3-verification 200 in 50ms (compile: 11ms, proxy.ts: 13ms, render: 27ms)
 GET /test-box3-verification 200 in 40ms (compile: 6ms, proxy.ts: 6ms, render: 28ms)
 GET /test-box3-verification 200 in 49ms (compile: 9ms, proxy.ts: 7ms, render: 34ms)
 GET /test-box3-verification 200 in 56ms (compile: 8ms, proxy.ts: 9ms, render: 39ms)
 GET /test-box3-verification 200 in 57ms (compile: 8ms, proxy.ts: 11ms, render: 38ms)
 GET /test-box3-verification 200 in 144ms (compile: 10ms, proxy.ts: 11ms, render: 124ms)
 GET /test-box3-verification 200 in 95ms (compile: 10ms, proxy.ts: 12ms, render: 74ms)
 GET /test-box3-verification 200 in 154ms (compile: 12ms, proxy.ts: 14ms, render: 127ms)
 GET /test-box3-verification 200 in 187ms (compile: 13ms, proxy.ts: 21ms, render: 154ms)
 GET /test-box3-verification 200 in 118ms (compile: 14ms, proxy.ts: 21ms, render: 82ms)
 GET /test-box3-verification 200 in 107ms (compile: 9ms, proxy.ts: 13ms, render: 86ms)
 GET /test-box3-verification 200 in 63ms (compile: 10ms, proxy.ts: 16ms, render: 38ms)
 GET /test-box3-verification 200 in 57ms (compile: 6ms, proxy.ts: 10ms, render: 40ms)
 GET /test-box3-verification 200 in 47ms (compile: 5ms, proxy.ts: 8ms, render: 33ms)
 GET /test-box3-verification 200 in 53ms (compile: 6ms, proxy.ts: 8ms, render: 38ms)
 GET /test-box3-verification 200 in 48ms (compile: 5ms, proxy.ts: 10ms, render: 33ms)
 GET /test-box3-verification 200 in 54ms (compile: 9ms, proxy.ts: 8ms, render: 37ms)
 GET /test-box3-verification 200 in 57ms (compile: 6ms, proxy.ts: 8ms, render: 43ms)
 GET /test-box3-verification 200 in 76ms (compile: 10ms, proxy.ts: 14ms, render: 52ms)
 GET /test-box3-verification 200 in 72ms (compile: 12ms, proxy.ts: 13ms, render: 47ms)
 GET /test-box3-verification 200 in 71ms (compile: 6ms, proxy.ts: 14ms, render: 50ms)
 GET /test-box3-verification 200 in 77ms (compile: 10ms, proxy.ts: 12ms, render: 54ms)
 GET /test-box3-verification 200 in 64ms (compile: 7ms, proxy.ts: 12ms, render: 45ms)
 GET /test-box3-verification 200 in 83ms (compile: 6ms, proxy.ts: 8ms, render: 68ms)
 GET /test-box3-verification 200 in 57ms (compile: 10ms, proxy.ts: 7ms, render: 40ms)
 GET /test-box3-verification 200 in 52ms (compile: 7ms, proxy.ts: 8ms, render: 37ms)
 GET /test-box3-verification 200 in 67ms (compile: 7ms, proxy.ts: 12ms, render: 48ms)
 GET /test-box3-verification 200 in 77ms (compile: 9ms, proxy.ts: 10ms, render: 58ms)
 GET /test-box3-verification 200 in 67ms (compile: 10ms, proxy.ts: 11ms, render: 47ms)
 GET / 200 in 1191ms (compile: 933ms, proxy.ts: 34ms, render: 224ms)
 GET /test-box3-verification 200 in 374ms (compile: 7ms, proxy.ts: 12ms, render: 355ms)
 GET /test-box3-verification 200 in 124ms (compile: 17ms, proxy.ts: 35ms, render: 72ms)
 GET /test-box3-verification 200 in 48ms (compile: 6ms, proxy.ts: 11ms, render: 31ms)
 GET /test-box3-verification 200 in 73ms (compile: 9ms, proxy.ts: 10ms, render: 54ms)
 GET /test-box3-verification 200 in 52ms (compile: 8ms, proxy.ts: 12ms, render: 32ms)
 GET /test-box3-verification 200 in 57ms (compile: 7ms, proxy.ts: 9ms, render: 41ms)
 GET /test-box3-verification 200 in 61ms (compile: 7ms, proxy.ts: 18ms, render: 36ms)
 GET /test-box3-verification 200 in 156ms (compile: 10ms, proxy.ts: 16ms, render: 130ms)
 GET /test-box3-verification 200 in 145ms (compile: 13ms, proxy.ts: 17ms, render: 115ms)
 GET /test-box3-verification 200 in 155ms (compile: 10ms, proxy.ts: 17ms, render: 128ms)
 GET /test-box3-verification 200 in 127ms (compile: 14ms, proxy.ts: 17ms, render: 96ms)
 GET /test-box3-verification 200 in 74ms (compile: 8ms, proxy.ts: 14ms, render: 52ms)
 GET /test-box3-verification 200 in 70ms (compile: 11ms, proxy.ts: 13ms, render: 46ms)
 GET /test-box3-verification 200 in 59ms (compile: 8ms, proxy.ts: 9ms, render: 42ms)
 GET /test-box3-verification 200 in 65ms (compile: 7ms, proxy.ts: 10ms, render: 49ms)
 GET /test-box3-verification 200 in 167ms (compile: 12ms, proxy.ts: 10ms, render: 145ms)
 GET /test-box3-verification 200 in 175ms (compile: 15ms, proxy.ts: 15ms, render: 144ms)
 GET /test-box3-verification 200 in 142ms (compile: 14ms, proxy.ts: 21ms, render: 107ms)
 GET /test-box3-verification 200 in 97ms (compile: 10ms, proxy.ts: 35ms, render: 52ms)
 GET /test-box3-verification 200 in 51ms (compile: 6ms, proxy.ts: 7ms, render: 39ms)
 GET /test-box3-verification 200 in 155ms (compile: 10ms, proxy.ts: 16ms, render: 129ms)
