▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1003ms
 GET /test-ai-recommendations 200 in 2.2s (compile: 1856ms, proxy.ts: 111ms, render: 254ms)
 GET /test-badge-grid 200 in 2.2s (compile: 1903ms, proxy.ts: 110ms, render: 210ms)
 GET / 200 in 2.2s (compile: 1656ms, proxy.ts: 109ms, render: 465ms)
 GET /api/badges/verify 200 in 787ms (compile: 384ms, proxy.ts: 11ms, render: 392ms)
 GET /api/verify-ai-recommendations 200 in 1177ms (compile: 469ms, proxy.ts: 34ms, render: 675ms)
 POST /api/dev-login 401 in 269ms (compile: 178ms, proxy.ts: 5ms, render: 86ms)
 GET / 200 in 48ms (compile: 6ms, proxy.ts: 7ms, render: 35ms)
 GET /login 200 in 532ms (compile: 434ms, proxy.ts: 8ms, render: 91ms)
✓ Compiled in 181ms
 GET /test-badge-grid 200 in 483ms (compile: 224ms, proxy.ts: 52ms, render: 207ms)
 GET /login 200 in 481ms (compile: 260ms, proxy.ts: 61ms, render: 160ms)
 GET /test-badge-grid 200 in 133ms (compile: 9ms, proxy.ts: 33ms, render: 90ms)
 GET /login 200 in 133ms (compile: 24ms, proxy.ts: 33ms, render: 76ms)
 GET /test-badge-grid 200 in 99ms (compile: 7ms, proxy.ts: 15ms, render: 77ms)
 GET /login 200 in 97ms (compile: 18ms, proxy.ts: 11ms, render: 67ms)
 GET /test-badge-grid 200 in 99ms (compile: 5ms, proxy.ts: 10ms, render: 84ms)
 GET /login 200 in 101ms (compile: 20ms, proxy.ts: 10ms, render: 71ms)
 GET /test-badge-grid 200 in 104ms (compile: 5ms, proxy.ts: 10ms, render: 89ms)
 GET /login 200 in 106ms (compile: 19ms, proxy.ts: 10ms, render: 77ms)
 GET /test-badge-grid 200 in 112ms (compile: 6ms, proxy.ts: 11ms, render: 94ms)
 GET /login 200 in 111ms (compile: 20ms, proxy.ts: 11ms, render: 79ms)
 GET /test-badge-grid 200 in 101ms (compile: 7ms, proxy.ts: 11ms, render: 83ms)
 GET /login 200 in 100ms (compile: 21ms, proxy.ts: 12ms, render: 68ms)
 GET /test-badge-grid 200 in 91ms (compile: 6ms, proxy.ts: 7ms, render: 78ms)
