▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1416ms
○ Compiling /dashboard ...
 GET /dashboard 200 in 6.7s (compile: 4.2s, proxy.ts: 398ms, render: 2.1s)
 GET /api/streaks 200 in 1033ms (compile: 762ms, proxy.ts: 25ms, render: 246ms)
 POST /api/badges/evaluate 200 in 916ms (compile: 433ms, proxy.ts: 30ms, render: 453ms)
 POST /api/streaks/checkin 200 in 496ms (compile: 316ms, proxy.ts: 9ms, render: 171ms)
 GET /identity 200 in 1996ms (compile: 1954ms, proxy.ts: 10ms, render: 32ms)
 GET /api/badges 200 in 618ms (compile: 245ms, proxy.ts: 10ms, render: 363ms)
 GET /api/badges 200 in 294ms (compile: 7ms, proxy.ts: 15ms, render: 273ms)
 GET /login 200 in 865ms (compile: 675ms, proxy.ts: 12ms, render: 178ms)
 GET /core 200 in 1476ms (compile: 1426ms, proxy.ts: 9ms, render: 41ms)
 GET /core 200 in 36ms (compile: 5ms, proxy.ts: 9ms, render: 22ms)
 GET /dashboard 200 in 3.1s (compile: 6ms, proxy.ts: 10ms, render: 3.1s)
 GET /api/feature-visits 200 in 2.3s (compile: 151ms, proxy.ts: 15ms, render: 2.1s)
 GET /api/feature-visits 200 in 185ms (compile: 5ms, proxy.ts: 13ms, render: 168ms)
 GET /core/budgets 200 in 1270ms (compile: 1237ms, proxy.ts: 8ms, render: 26ms)
 GET /core/cash 200 in 1420ms (compile: 1363ms, proxy.ts: 14ms, render: 43ms)
 GET /core/debts 200 in 1024ms (compile: 976ms, proxy.ts: 9ms, render: 39ms)
 GET /core/assets 200 in 949ms (compile: 908ms, proxy.ts: 10ms, render: 31ms)
 GET /core/belasting 200 in 1234ms (compile: 1177ms, proxy.ts: 9ms, render: 48ms)
 GET /core/assets 200 in 40ms (compile: 8ms, proxy.ts: 9ms, render: 23ms)
 GET /core/assets/holdings 200 in 966ms (compile: 936ms, proxy.ts: 8ms, render: 22ms)
 GET /api/holdings 200 in 618ms (compile: 192ms, proxy.ts: 18ms, render: 408ms)
 GET /api/holdings 200 in 276ms (compile: 7ms, proxy.ts: 19ms, render: 250ms)
 GET /will 200 in 1254ms (compile: 1195ms, proxy.ts: 8ms, render: 51ms)
 GET /api/feature-visits 200 in 163ms (compile: 6ms, proxy.ts: 10ms, render: 147ms)
 GET /api/feature-visits 200 in 169ms (compile: 6ms, proxy.ts: 15ms, render: 148ms)
 GET /identity 200 in 82ms (compile: 11ms, proxy.ts: 9ms, render: 62ms)
 GET /api/nibud/benchmark 200 in 563ms (compile: 229ms, proxy.ts: 10ms, render: 324ms)
 GET /api/nibud/benchmark 200 in 337ms (compile: 4ms, proxy.ts: 11ms, render: 323ms)
 GET /api/badges 200 in 249ms (compile: 4ms, proxy.ts: 12ms, render: 233ms)
 GET /api/badges 200 in 245ms (compile: 6ms, proxy.ts: 11ms, render: 227ms)
 GET /api/share/freedom-card?privacy=full 200 in 877ms (compile: 252ms, proxy.ts: 7ms, render: 618ms)
 GET /dashboard 200 in 595ms (compile: 7ms, proxy.ts: 8ms, render: 580ms)
 GET /api/streaks 200 in 172ms (compile: 3ms, proxy.ts: 11ms, render: 158ms)
 GET /api/streaks 200 in 157ms (compile: 4ms, proxy.ts: 9ms, render: 144ms)
 GET /will 200 in 29ms (compile: 4ms, proxy.ts: 7ms, render: 17ms)
 GET /api/feature-visits 200 in 266ms (compile: 18ms, proxy.ts: 21ms, render: 227ms)
 GET /api/feature-visits 200 in 194ms (compile: 8ms, proxy.ts: 13ms, render: 173ms)
