▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 962ms
 GET /test-chat-timeout 200 in 1849ms (compile: 1576ms, proxy.ts: 126ms, render: 147ms)
 GET / 200 in 687ms (compile: 612ms, proxy.ts: 5ms, render: 70ms)
 GET /login 200 in 494ms (compile: 430ms, proxy.ts: 6ms, render: 58ms)
 GET /test-chat-timeout 200 in 35ms (compile: 4ms, proxy.ts: 7ms, render: 24ms)
 POST /api/ai/chat-test-timeout?mode=error 500 in 219ms (compile: 203ms, proxy.ts: 4ms, render: 13ms)
 GET /test-empty-badge-eval 200 in 410ms (compile: 378ms, proxy.ts: 4ms, render: 28ms)
 GET /api/health 200 in 554ms (compile: 283ms, proxy.ts: 6ms, render: 266ms)
 GET /test-price-feed 200 in 368ms (compile: 316ms, proxy.ts: 9ms, render: 42ms)
 POST /api/ai/chat-test-timeout?mode=error 500 in 18ms (compile: 4ms, proxy.ts: 7ms, render: 7ms)
 POST /api/dev-login 400 in 284ms (compile: 272ms, proxy.ts: 4ms, render: 8ms)
 GET /test-empty-badge-eval 200 in 62ms (compile: 6ms, proxy.ts: 12ms, render: 44ms)
 GET /api/health?persistence_test=RESTART_TEST_12345 200 in 250ms (compile: 10ms, proxy.ts: 9ms, render: 231ms)
 GET /test-chat-timeout 200 in 43ms (compile: 5ms, proxy.ts: 6ms, render: 33ms)
 GET /api/schema-check 200 in 6.6s (compile: 168ms, proxy.ts: 7ms, render: 6.4s)
 GET /test-price-feed 200 in 43ms (compile: 3ms, proxy.ts: 5ms, render: 35ms)
 GET /api/verify-empty-badge-eval 200 in 132ms (compile: 110ms, proxy.ts: 4ms, render: 18ms)
 POST /api/ai/chat-test-timeout?mode=error 500 in 13ms (compile: 4ms, proxy.ts: 5ms, render: 5ms)
 POST /api/ai/chat-test-timeout?mode=error 500 in 21ms (compile: 8ms, proxy.ts: 10ms, render: 4ms)
 GET / 200 in 62ms (compile: 4ms, proxy.ts: 6ms, render: 52ms)
 GET /api/health 200 in 169ms (compile: 4ms, proxy.ts: 6ms, render: 159ms)
 GET /api/schema-check 200 in 6.6s (compile: 3ms, proxy.ts: 6ms, render: 6.6s)
 GET /test-price-feed 200 in 469ms (compile: 86ms, proxy.ts: 195ms, render: 189ms)
 GET /test-chat-timeout 200 in 454ms (compile: 128ms, proxy.ts: 181ms, render: 144ms)
 GET /test-empty-badge-eval 200 in 342ms (compile: 26ms, proxy.ts: 150ms, render: 166ms)
 GET /test-price-feed 200 in 202ms (compile: 13ms, proxy.ts: 47ms, render: 142ms)
 GET /test-chat-timeout 200 in 208ms (compile: 31ms, proxy.ts: 49ms, render: 127ms)
 GET /test-empty-badge-eval 200 in 192ms (compile: 17ms, proxy.ts: 33ms, render: 142ms)
 GET /test-price-feed 200 in 176ms (compile: 33ms, proxy.ts: 14ms, render: 130ms)
 GET /test-chat-timeout 200 in 176ms (compile: 44ms, proxy.ts: 19ms, render: 113ms)
 GET /test-empty-badge-eval 200 in 161ms (compile: 14ms, proxy.ts: 12ms, render: 135ms)
 GET /test-price-feed 200 in 165ms (compile: 24ms, proxy.ts: 15ms, render: 126ms)
 GET /test-chat-timeout 200 in 167ms (compile: 37ms, proxy.ts: 16ms, render: 113ms)
 GET /test-empty-badge-eval 200 in 154ms (compile: 10ms, proxy.ts: 14ms, render: 129ms)
 GET /test-price-feed 200 in 156ms (compile: 25ms, proxy.ts: 15ms, render: 116ms)
 GET /test-chat-timeout 200 in 162ms (compile: 40ms, proxy.ts: 15ms, render: 107ms)
 GET /test-empty-badge-eval 200 in 145ms (compile: 10ms, proxy.ts: 13ms, render: 122ms)
 GET /test-price-feed 200 in 147ms (compile: 23ms, proxy.ts: 15ms, render: 109ms)
 GET /test-chat-timeout 200 in 149ms (compile: 36ms, proxy.ts: 15ms, render: 97ms)
 GET /test-empty-badge-eval 200 in 151ms (compile: 14ms, proxy.ts: 14ms, render: 124ms)
 GET /test-price-feed 200 in 151ms (compile: 29ms, proxy.ts: 13ms, render: 109ms)
 GET /test-chat-timeout 200 in 157ms (compile: 36ms, proxy.ts: 17ms, render: 103ms)
 GET /test-empty-badge-eval 200 in 168ms (compile: 11ms, proxy.ts: 12ms, render: 145ms)
 GET /test-chat-timeout 200 in 172ms (compile: 36ms, proxy.ts: 13ms, render: 123ms)
 GET /test-price-feed 200 in 177ms (compile: 27ms, proxy.ts: 13ms, render: 137ms)
 GET /test-empty-badge-eval 200 in 158ms (compile: 13ms, proxy.ts: 13ms, render: 132ms)
 GET /test-price-feed 200 in 159ms (compile: 25ms, proxy.ts: 15ms, render: 119ms)
 GET /test-chat-timeout 200 in 163ms (compile: 50ms, proxy.ts: 17ms, render: 96ms)
 GET /test-empty-badge-eval 200 in 132ms (compile: 10ms, proxy.ts: 10ms, render: 111ms)
 GET /test-price-feed 200 in 134ms (compile: 23ms, proxy.ts: 13ms, render: 98ms)
 GET /test-chat-timeout 200 in 135ms (compile: 33ms, proxy.ts: 14ms, render: 88ms)
 GET /test-empty-badge-eval 200 in 136ms (compile: 9ms, proxy.ts: 11ms, render: 117ms)
 GET /test-price-feed 200 in 138ms (compile: 20ms, proxy.ts: 13ms, render: 105ms)
 GET /test-chat-timeout 200 in 142ms (compile: 33ms, proxy.ts: 13ms, render: 96ms)
 GET /test-empty-badge-eval 200 in 145ms (compile: 9ms, proxy.ts: 10ms, render: 126ms)
 GET /test-price-feed 200 in 148ms (compile: 24ms, proxy.ts: 9ms, render: 116ms)
 GET /test-chat-timeout 200 in 153ms (compile: 37ms, proxy.ts: 12ms, render: 105ms)
 GET /test-empty-badge-eval 200 in 153ms (compile: 16ms, proxy.ts: 11ms, render: 126ms)
 GET /test-price-feed 200 in 157ms (compile: 29ms, proxy.ts: 12ms, render: 116ms)
 GET /test-chat-timeout 200 in 164ms (compile: 41ms, proxy.ts: 15ms, render: 109ms)
 GET /test-price-feed 200 in 162ms (compile: 23ms, proxy.ts: 13ms, render: 126ms)
 GET /test-empty-badge-eval 200 in 165ms (compile: 10ms, proxy.ts: 13ms, render: 142ms)
 GET /test-chat-timeout 200 in 163ms (compile: 36ms, proxy.ts: 12ms, render: 115ms)
