▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1261ms
 GET /test-sell-transaction 200 in 3.1s (compile: 2.7s, proxy.ts: 155ms, render: 201ms)
 GET /login 200 in 1464ms (compile: 974ms, proxy.ts: 63ms, render: 428ms)
 GET /test-sell-transaction 200 in 135ms (compile: 9ms, proxy.ts: 13ms, render: 112ms)
 GET /api/health 200 in 993ms (compile: 449ms, proxy.ts: 6ms, render: 539ms)
 GET /api/health 200 in 363ms (compile: 66ms, proxy.ts: 70ms, render: 228ms)
 GET /login 404 in 586ms (proxy.ts: 72ms)
 GET /test-sell-transaction 404 in 976ms (compile: 664ms, proxy.ts: 74ms, render: 238ms)
 GET /test-sell-transaction 200 in 211ms (compile: 35ms, proxy.ts: 16ms, render: 160ms)
 GET /test-sell-transaction 200 in 265ms (compile: 64ms, proxy.ts: 18ms, render: 184ms)
 GET /api/health 200 in 207ms (compile: 5ms, proxy.ts: 5ms, render: 197ms)
 GET /test-sell-transaction 404 in 53ms (compile: 10ms, proxy.ts: 5ms, render: 38ms)
✓ Compiled in 435ms
 GET /test-sell-transaction 404 in 72ms (compile: 9ms, proxy.ts: 28ms, render: 36ms)
 GET /test-freedom-card 200 in 523ms (compile: 454ms, proxy.ts: 7ms, render: 62ms)
 GET /login 200 in 96ms (compile: 10ms, proxy.ts: 6ms, render: 80ms)
✓ Compiled in 1831ms
 GET /test-sell-transaction 200 in 610ms (compile: 122ms, proxy.ts: 230ms, render: 259ms)
 GET /login 200 in 585ms (compile: 160ms, proxy.ts: 204ms, render: 221ms)
 GET /test-freedom-card 200 in 585ms (compile: 191ms, proxy.ts: 207ms, render: 188ms)
 GET /login 200 in 255ms (compile: 38ms, proxy.ts: 17ms, render: 200ms)
 GET /test-sell-transaction 200 in 264ms (compile: 17ms, proxy.ts: 18ms, render: 230ms)
 GET /test-freedom-card 200 in 262ms (compile: 66ms, proxy.ts: 17ms, render: 180ms)
 GET /test-freedom-card 200 in 234ms (compile: 50ms, proxy.ts: 40ms, render: 143ms)
 GET /login 200 in 242ms (compile: 44ms, proxy.ts: 30ms, render: 167ms)
 GET /test-sell-transaction 200 in 247ms (compile: 28ms, proxy.ts: 27ms, render: 192ms)
