▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1079ms
 GET /api/health 200 in 718ms (compile: 359ms, proxy.ts: 133ms, render: 226ms)
 GET /api/schema-check 200 in 1098ms (compile: 151ms, proxy.ts: 5ms, render: 942ms)
 GET / 200 in 2.6s (compile: 2.4s, proxy.ts: 16ms, render: 219ms)
 GET /login 200 in 734ms (compile: 600ms, proxy.ts: 7ms, render: 126ms)
 GET /test-rec-workflow 200 in 488ms (compile: 440ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 577ms (compile: 117ms, proxy.ts: 361ms, render: 99ms)
 GET /login 200 in 62ms (compile: 7ms, proxy.ts: 12ms, render: 44ms)
 GET /login 200 in 81ms (compile: 11ms, proxy.ts: 10ms, render: 60ms)
 GET /login 200 in 48ms (compile: 7ms, proxy.ts: 8ms, render: 33ms)
 GET /login 200 in 69ms (compile: 6ms, proxy.ts: 8ms, render: 55ms)
 GET /login 200 in 77ms (compile: 5ms, proxy.ts: 8ms, render: 64ms)
 GET /login 200 in 89ms (compile: 5ms, proxy.ts: 6ms, render: 78ms)
 GET /login 200 in 79ms (compile: 6ms, proxy.ts: 19ms, render: 53ms)
 GET /login 200 in 87ms (compile: 6ms, proxy.ts: 7ms, render: 74ms)
 GET /login 200 in 151ms (compile: 7ms, proxy.ts: 7ms, render: 137ms)
 GET /login 200 in 225ms (compile: 15ms, proxy.ts: 24ms, render: 186ms)
 GET /login 200 in 223ms (compile: 12ms, proxy.ts: 37ms, render: 173ms)
 GET /login 200 in 175ms (compile: 18ms, proxy.ts: 34ms, render: 124ms)
 GET /login 200 in 144ms (compile: 7ms, proxy.ts: 14ms, render: 123ms)
 GET /login 200 in 135ms (compile: 15ms, proxy.ts: 20ms, render: 100ms)
 GET /login 200 in 115ms (compile: 9ms, proxy.ts: 15ms, render: 90ms)
 GET /login 200 in 113ms (compile: 9ms, proxy.ts: 11ms, render: 93ms)
 GET /login 200 in 115ms (compile: 11ms, proxy.ts: 13ms, render: 90ms)
 GET /login 200 in 79ms (compile: 7ms, proxy.ts: 11ms, render: 61ms)
 GET /login 200 in 144ms (compile: 12ms, proxy.ts: 9ms, render: 123ms)
 GET /login 200 in 106ms (compile: 6ms, proxy.ts: 11ms, render: 90ms)
 GET /login 200 in 77ms (compile: 8ms, proxy.ts: 10ms, render: 59ms)
 GET /login 200 in 66ms (compile: 5ms, proxy.ts: 8ms, render: 53ms)
 GET /login 200 in 75ms (compile: 5ms, proxy.ts: 8ms, render: 63ms)
 GET /login 200 in 50ms (compile: 9ms, proxy.ts: 9ms, render: 33ms)
 GET /login 200 in 71ms (compile: 6ms, proxy.ts: 6ms, render: 58ms)
 GET /login 200 in 68ms (compile: 5ms, proxy.ts: 7ms, render: 56ms)
 GET /login 200 in 70ms (compile: 5ms, proxy.ts: 7ms, render: 58ms)
 GET /login 200 in 100ms (compile: 5ms, proxy.ts: 7ms, render: 88ms)
 GET /login 200 in 100ms (compile: 17ms, proxy.ts: 14ms, render: 70ms)
 GET /login 200 in 77ms (compile: 4ms, proxy.ts: 8ms, render: 65ms)
 GET /login 200 in 46ms (compile: 9ms, proxy.ts: 7ms, render: 30ms)
 GET /login 200 in 54ms (compile: 6ms, proxy.ts: 6ms, render: 41ms)
 GET /login 200 in 62ms (compile: 15ms, proxy.ts: 13ms, render: 34ms)
 GET /login 200 in 64ms (compile: 6ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 86ms (compile: 5ms, proxy.ts: 7ms, render: 74ms)
 GET /login 200 in 108ms (compile: 6ms, proxy.ts: 9ms, render: 93ms)
 GET /login 200 in 77ms (compile: 12ms, proxy.ts: 12ms, render: 52ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 7ms, render: 21ms)
 GET /login 200 in 43ms (compile: 6ms, proxy.ts: 4ms, render: 33ms)
