▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1064ms
 GET /test-fire-scenarios 200 in 2.7s (compile: 2.3s, proxy.ts: 149ms, render: 246ms)
 POST /api/test-rec-workflow 200 in 752ms (compile: 708ms, proxy.ts: 24ms, render: 20ms)
✓ Compiled in 1654ms
 GET /test-fire-scenarios 200 in 730ms (compile: 376ms, proxy.ts: 251ms, render: 104ms)
 GET /test-fire-scenarios 200 in 102ms (compile: 20ms, proxy.ts: 12ms, render: 71ms)
 GET /test-fire-scenarios 200 in 78ms (compile: 5ms, proxy.ts: 10ms, render: 62ms)
 GET /test-fire-scenarios 200 in 45ms (compile: 6ms, proxy.ts: 9ms, render: 30ms)
 GET /test-fire-scenarios 200 in 71ms (compile: 8ms, proxy.ts: 6ms, render: 58ms)
 GET /test-fire-scenarios 200 in 70ms (compile: 4ms, proxy.ts: 6ms, render: 61ms)
 GET /test-fire-scenarios 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /test-fire-scenarios 200 in 69ms (compile: 6ms, proxy.ts: 8ms, render: 55ms)
 GET /test-fire-scenarios 200 in 67ms (compile: 6ms, proxy.ts: 9ms, render: 53ms)
 GET /test-fire-scenarios 200 in 65ms (compile: 5ms, proxy.ts: 7ms, render: 52ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 9ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 22ms)
 GET /test-fire-scenarios 200 in 55ms (compile: 5ms, proxy.ts: 5ms, render: 45ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET /test-fire-scenarios 200 in 56ms (compile: 4ms, proxy.ts: 8ms, render: 43ms)
 GET /test-fire-scenarios 200 in 51ms (compile: 3ms, proxy.ts: 6ms, render: 41ms)
 GET /test-fire-scenarios 200 in 45ms (compile: 3ms, proxy.ts: 5ms, render: 36ms)
 GET /test-fire-scenarios 200 in 47ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET /test-fire-scenarios 200 in 43ms (compile: 3ms, proxy.ts: 5ms, render: 35ms)
 GET /test-fire-scenarios 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 6ms, proxy.ts: 4ms, render: 24ms)
 GET /test-fire-scenarios 200 in 56ms (compile: 7ms, proxy.ts: 6ms, render: 42ms)
 GET /test-fire-scenarios 200 in 48ms (compile: 3ms, proxy.ts: 6ms, render: 39ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /test-fire-scenarios 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-fire-scenarios 200 in 83ms (compile: 3ms, proxy.ts: 4ms, render: 75ms)
 GET /test-fire-scenarios 200 in 84ms (compile: 5ms, proxy.ts: 7ms, render: 73ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 4ms, proxy.ts: 7ms, render: 25ms)
 GET /test-fire-scenarios 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 18ms)
 GET /test-fire-scenarios 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET /test-fire-scenarios 200 in 49ms (compile: 3ms, proxy.ts: 5ms, render: 41ms)
 GET /test-fire-scenarios 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 38ms)
