▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1067ms
 GET /api/health 200 in 938ms (compile: 533ms, proxy.ts: 158ms, render: 247ms)
 GET /test-badges 200 in 1987ms (compile: 1840ms, proxy.ts: 5ms, render: 142ms)
 GET /test-badges 200 in 62ms (compile: 5ms, proxy.ts: 7ms, render: 50ms)
 GET /api/health 200 in 176ms (compile: 6ms, proxy.ts: 7ms, render: 163ms)
 GET /api/health 200 in 219ms (compile: 4ms, proxy.ts: 6ms, render: 210ms)
 GET / 200 in 735ms (compile: 616ms, proxy.ts: 7ms, render: 112ms)
 GET /api/health 200 in 213ms (compile: 7ms, proxy.ts: 8ms, render: 198ms)
 GET /api/health?persistence_test=RESTART_TEST_12345 200 in 520ms (compile: 4ms, proxy.ts: 6ms, render: 510ms)
 GET /api/session-info 200 in 829ms (compile: 810ms, proxy.ts: 6ms, render: 13ms)
 GET /login 200 in 1200ms (compile: 1080ms, proxy.ts: 9ms, render: 111ms)
 GET /login 200 in 77ms (compile: 7ms, proxy.ts: 7ms, render: 64ms)
 GET /api/health 200 in 369ms (compile: 3ms, proxy.ts: 4ms, render: 362ms)
 POST /api/dev-login 401 in 415ms (compile: 164ms, proxy.ts: 6ms, render: 246ms)
 POST /api/dev-login 401 in 148ms (compile: 5ms, proxy.ts: 4ms, render: 139ms)
 GET /login 200 in 351ms (compile: 64ms, proxy.ts: 218ms, render: 68ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /login 200 in 41ms (compile: 4ms, proxy.ts: 9ms, render: 28ms)
 GET /login 200 in 59ms (compile: 5ms, proxy.ts: 7ms, render: 47ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 7ms, render: 25ms)
 GET /login 200 in 62ms (compile: 5ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 63ms (compile: 5ms, proxy.ts: 7ms, render: 52ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 9ms, render: 47ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 9ms, render: 51ms)
 GET /login 200 in 60ms (compile: 6ms, proxy.ts: 6ms, render: 48ms)
 GET /login 200 in 56ms (compile: 5ms, proxy.ts: 6ms, render: 44ms)
 GET /login 200 in 65ms (compile: 5ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 9ms, render: 51ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 8ms, render: 48ms)
 GET /login 200 in 44ms (compile: 5ms, proxy.ts: 8ms, render: 31ms)
 GET /login 200 in 60ms (compile: 6ms, proxy.ts: 9ms, render: 46ms)
 GET /login 200 in 55ms (compile: 6ms, proxy.ts: 5ms, render: 44ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 5ms, render: 50ms)
 GET /login 200 in 75ms (compile: 4ms, proxy.ts: 8ms, render: 63ms)
 GET /login 200 in 75ms (compile: 4ms, proxy.ts: 8ms, render: 63ms)
 GET /login 200 in 66ms (compile: 6ms, proxy.ts: 9ms, render: 51ms)
 GET /login 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 57ms (compile: 4ms, proxy.ts: 7ms, render: 46ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 8ms, render: 46ms)
 GET /login 200 in 64ms (compile: 6ms, proxy.ts: 5ms, render: 53ms)
 GET /login 200 in 67ms (compile: 5ms, proxy.ts: 7ms, render: 55ms)
 GET /login 200 in 69ms (compile: 6ms, proxy.ts: 5ms, render: 58ms)
 GET /login 200 in 66ms (compile: 8ms, proxy.ts: 7ms, render: 52ms)
 GET /login 200 in 58ms (compile: 5ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 58ms (compile: 6ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 8ms, render: 52ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 7ms, render: 52ms)
 GET /login 200 in 55ms (compile: 3ms, proxy.ts: 8ms, render: 43ms)
