▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /login 200 in 2.1s (compile: 1834ms, proxy.ts: 124ms, render: 178ms)
 GET /login 404 in 591ms (compile: 510ms, proxy.ts: 9ms, render: 73ms)
 GET /test-phase-transition 200 in 643ms (compile: 529ms, proxy.ts: 19ms, render: 95ms)
 GET /api/verify-phase-transition 200 in 319ms (compile: 295ms, proxy.ts: 7ms, render: 17ms)
 GET /test-phase-transition 200 in 72ms (compile: 5ms, proxy.ts: 7ms, render: 60ms)
 GET /test-phase-transition 200 in 338ms (compile: 242ms, proxy.ts: 30ms, render: 65ms)
 GET /api/verify-phase-transition 200 in 20ms (compile: 6ms, proxy.ts: 8ms, render: 6ms)
 GET /login 200 in 57ms (compile: 4ms, proxy.ts: 4ms, render: 49ms)
 GET /test-phase-transition 200 in 786ms (compile: 125ms, proxy.ts: 435ms, render: 226ms)
 GET /login 404 in 973ms (compile: 239ms, proxy.ts: 438ms, render: 296ms)
 GET /test-phase-transition 200 in 375ms (compile: 27ms, proxy.ts: 102ms, render: 246ms)
 GET /login 404 in 287ms (compile: 82ms, proxy.ts: 19ms, render: 186ms)
 GET /test-phase-transition 200 in 341ms (compile: 65ms, proxy.ts: 27ms, render: 248ms)
 GET /test-phase-transition 200 in 213ms (compile: 48ms, proxy.ts: 27ms, render: 139ms)
 GET /login 404 in 465ms (compile: 69ms, proxy.ts: 53ms, render: 343ms)
 GET /test-phase-transition 200 in 140ms (compile: 10ms, proxy.ts: 39ms, render: 90ms)
 GET /test-phase-transition 200 in 109ms (compile: 16ms, proxy.ts: 10ms, render: 83ms)
 GET /test-phase-transition 200 in 108ms (compile: 10ms, proxy.ts: 15ms, render: 84ms)
 GET /test-phase-transition 200 in 109ms (compile: 14ms, proxy.ts: 18ms, render: 77ms)
 GET /test-phase-transition 200 in 101ms (compile: 7ms, proxy.ts: 10ms, render: 84ms)
 GET /test-phase-transition 200 in 83ms (compile: 16ms, proxy.ts: 9ms, render: 58ms)
 GET /test-phase-transition 200 in 72ms (compile: 3ms, proxy.ts: 8ms, render: 61ms)
