▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3055
- Network:       http://192.168.86.37:3055
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1069ms
✓ Compiled in 11ms
 GET /api/health 200 in 746ms (compile: 384ms, proxy.ts: 147ms, render: 215ms)
 HEAD /test-freedom-card 200 in 1988ms (compile: 1814ms, proxy.ts: 8ms, render: 166ms)
 GET /login 200 in 1443ms (compile: 1347ms, proxy.ts: 7ms, render: 89ms)
 GET /login 200 in 114ms (compile: 4ms, proxy.ts: 12ms, render: 98ms)
 GET /test-freedom-card 200 in 52ms (compile: 5ms, proxy.ts: 8ms, render: 39ms)
 GET /api/dev-login 200 in 224ms (compile: 211ms, proxy.ts: 6ms, render: 7ms)
 POST /api/dev-login 401 in 397ms (compile: 5ms, proxy.ts: 9ms, render: 384ms)
✓ Compiled in 666ms
 GET /login 404 in 1200ms (compile: 867ms, proxy.ts: 73ms, render: 260ms)
 GET /login 200 in 210ms (compile: 44ms, proxy.ts: 13ms, render: 153ms)
 GET /login 200 in 306ms (compile: 71ms, proxy.ts: 14ms, render: 221ms)
 GET /api/test-budget-alerts 200 in 160ms (compile: 145ms, proxy.ts: 4ms, render: 10ms)
 GET /api/verify-budget-spending 200 in 445ms (compile: 178ms, proxy.ts: 4ms, render: 262ms)
✓ Compiled in 162ms
 GET /test-budget-alerts 200 in 703ms (compile: 574ms, proxy.ts: 25ms, render: 104ms)
 HEAD /test-holdings 200 in 501ms (compile: 447ms, proxy.ts: 4ms, render: 51ms)
 GET /test-budget-alerts 200 in 272ms (compile: 75ms, proxy.ts: 78ms, render: 119ms)
 GET /test-budget-alerts 200 in 95ms (compile: 17ms, proxy.ts: 13ms, render: 65ms)
 GET /test-budget-alerts 200 in 81ms (compile: 6ms, proxy.ts: 9ms, render: 67ms)
 GET /test-budget-alerts 200 in 84ms (compile: 7ms, proxy.ts: 8ms, render: 69ms)
 GET /test-budget-alerts 200 in 89ms (compile: 4ms, proxy.ts: 10ms, render: 75ms)
 GET /test-budget-alerts 200 in 77ms (compile: 5ms, proxy.ts: 10ms, render: 63ms)
 GET /test-budget-alerts 200 in 91ms (compile: 6ms, proxy.ts: 7ms, render: 78ms)
 GET /test-budget-alerts 200 in 94ms (compile: 12ms, proxy.ts: 14ms, render: 68ms)
 GET /test-budget-alerts 200 in 70ms (compile: 6ms, proxy.ts: 6ms, render: 58ms)
 GET /test-budget-alerts 200 in 66ms (compile: 6ms, proxy.ts: 8ms, render: 52ms)
 GET /test-budget-alerts 200 in 68ms (compile: 6ms, proxy.ts: 6ms, render: 56ms)
 GET /test-budget-alerts 200 in 75ms (compile: 4ms, proxy.ts: 9ms, render: 61ms)
 GET /test-budget-alerts 200 in 69ms (compile: 5ms, proxy.ts: 8ms, render: 56ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 8ms, render: 48ms)
 GET /test-budget-alerts 200 in 64ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /test-budget-alerts 200 in 75ms (compile: 6ms, proxy.ts: 8ms, render: 61ms)
 GET /test-budget-alerts 200 in 72ms (compile: 4ms, proxy.ts: 8ms, render: 60ms)
 GET /test-budget-alerts 200 in 64ms (compile: 5ms, proxy.ts: 6ms, render: 53ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 5ms, render: 51ms)
 GET /test-budget-alerts 200 in 68ms (compile: 5ms, proxy.ts: 8ms, render: 56ms)
 GET /test-budget-alerts 200 in 65ms (compile: 3ms, proxy.ts: 7ms, render: 55ms)
 GET /test-budget-alerts 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /test-budget-alerts 200 in 62ms (compile: 3ms, proxy.ts: 6ms, render: 52ms)
 GET /test-budget-alerts 200 in 66ms (compile: 4ms, proxy.ts: 6ms, render: 56ms)
 GET /test-budget-alerts 200 in 97ms (compile: 5ms, proxy.ts: 6ms, render: 86ms)
 GET /test-budget-alerts 200 in 86ms (compile: 6ms, proxy.ts: 9ms, render: 71ms)
 GET /test-budget-alerts 200 in 53ms (compile: 4ms, proxy.ts: 5ms, render: 44ms)
 GET /test-budget-alerts 200 in 53ms (compile: 5ms, proxy.ts: 6ms, render: 42ms)
 GET /test-budget-alerts 200 in 53ms (compile: 5ms, proxy.ts: 4ms, render: 44ms)
 GET /test-budget-alerts 200 in 55ms (compile: 4ms, proxy.ts: 6ms, render: 45ms)
 GET /test-budget-alerts 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /test-budget-alerts 200 in 63ms (compile: 4ms, proxy.ts: 6ms, render: 53ms)
 GET /test-budget-alerts 200 in 63ms (compile: 6ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 116ms (compile: 4ms, proxy.ts: 5ms, render: 106ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 5ms, render: 50ms)
 GET /test-budget-alerts 200 in 60ms (compile: 3ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 26ms)
 GET /test-budget-alerts 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /test-budget-alerts 200 in 56ms (compile: 5ms, proxy.ts: 4ms, render: 46ms)
 GET /test-budget-alerts 200 in 56ms (compile: 4ms, proxy.ts: 5ms, render: 48ms)
 GET /test-budget-alerts 200 in 58ms (compile: 5ms, proxy.ts: 6ms, render: 47ms)
 GET /test-budget-alerts 200 in 57ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET /test-budget-alerts 200 in 65ms (compile: 4ms, proxy.ts: 4ms, render: 57ms)
 GET /test-budget-alerts 200 in 64ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /test-budget-alerts 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 46ms)
 GET /test-budget-alerts 200 in 34ms (compile: 3ms, proxy.ts: 5ms, render: 26ms)
 GET /test-budget-alerts 200 in 52ms (compile: 6ms, proxy.ts: 6ms, render: 40ms)
 GET /test-budget-alerts 200 in 50ms (compile: 3ms, proxy.ts: 3ms, render: 44ms)
 GET /test-budget-alerts 200 in 52ms (compile: 5ms, proxy.ts: 6ms, render: 42ms)
 GET /test-budget-alerts 200 in 51ms (compile: 4ms, proxy.ts: 4ms, render: 44ms)
 GET /test-budget-alerts 200 in 49ms (compile: 4ms, proxy.ts: 6ms, render: 39ms)
 GET /test-budget-alerts 200 in 54ms (compile: 4ms, proxy.ts: 5ms, render: 46ms)
 GET /test-budget-alerts 200 in 59ms (compile: 4ms, proxy.ts: 11ms, render: 44ms)
 GET /test-budget-alerts 200 in 38ms (compile: 6ms, proxy.ts: 5ms, render: 26ms)
 GET /test-budget-alerts 200 in 39ms (compile: 5ms, proxy.ts: 7ms, render: 27ms)
 GET /test-budget-alerts 200 in 56ms (compile: 7ms, proxy.ts: 5ms, render: 44ms)
 GET /test-budget-alerts 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-budget-alerts 200 in 51ms (compile: 5ms, proxy.ts: 6ms, render: 40ms)
 GET /test-budget-alerts 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /test-budget-alerts 200 in 57ms (compile: 4ms, proxy.ts: 5ms, render: 48ms)
 GET /test-budget-alerts 200 in 56ms (compile: 4ms, proxy.ts: 12ms, render: 39ms)
 GET /test-budget-alerts 200 in 49ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET /test-budget-alerts 200 in 51ms (compile: 3ms, proxy.ts: 7ms, render: 41ms)
 GET /test-budget-alerts 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /test-budget-alerts 200 in 51ms (compile: 3ms, proxy.ts: 5ms, render: 42ms)
 GET /test-budget-alerts 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 26ms)
 GET /test-budget-alerts 200 in 54ms (compile: 3ms, proxy.ts: 6ms, render: 45ms)
 GET /test-budget-alerts 200 in 53ms (compile: 4ms, proxy.ts: 7ms, render: 42ms)
 GET /test-budget-alerts 200 in 55ms (compile: 4ms, proxy.ts: 5ms, render: 45ms)
 GET /test-budget-alerts 200 in 61ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 7ms, render: 49ms)
 GET /test-budget-alerts 200 in 37ms (compile: 6ms, proxy.ts: 6ms, render: 26ms)
 GET /test-budget-alerts 200 in 58ms (compile: 6ms, proxy.ts: 5ms, render: 46ms)
 GET /test-budget-alerts 200 in 61ms (compile: 4ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 40ms (compile: 5ms, proxy.ts: 7ms, render: 28ms)
 GET /test-budget-alerts 200 in 64ms (compile: 6ms, proxy.ts: 6ms, render: 52ms)
 GET /test-budget-alerts 200 in 75ms (compile: 5ms, proxy.ts: 5ms, render: 64ms)
 GET /test-budget-alerts 200 in 75ms (compile: 6ms, proxy.ts: 6ms, render: 64ms)
 GET /test-budget-alerts 200 in 62ms (compile: 4ms, proxy.ts: 7ms, render: 51ms)
 GET /test-budget-alerts 200 in 63ms (compile: 4ms, proxy.ts: 8ms, render: 51ms)
 GET /test-budget-alerts 200 in 61ms (compile: 5ms, proxy.ts: 7ms, render: 49ms)
 GET /test-budget-alerts 200 in 61ms (compile: 4ms, proxy.ts: 7ms, render: 50ms)
 GET /test-budget-alerts 200 in 61ms (compile: 5ms, proxy.ts: 6ms, render: 50ms)
 GET /test-budget-alerts 200 in 68ms (compile: 5ms, proxy.ts: 6ms, render: 56ms)
 GET /test-budget-alerts 200 in 44ms (compile: 5ms, proxy.ts: 15ms, render: 24ms)
 GET /test-budget-alerts 200 in 54ms (compile: 5ms, proxy.ts: 5ms, render: 44ms)
 GET /test-budget-alerts 200 in 57ms (compile: 4ms, proxy.ts: 5ms, render: 48ms)
 GET /test-budget-alerts 200 in 56ms (compile: 4ms, proxy.ts: 6ms, render: 46ms)
 GET /test-budget-alerts 200 in 61ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-budget-alerts 200 in 58ms (compile: 5ms, proxy.ts: 4ms, render: 49ms)
 GET /test-budget-alerts 200 in 58ms (compile: 4ms, proxy.ts: 7ms, render: 48ms)
 GET /test-budget-alerts 200 in 56ms (compile: 4ms, proxy.ts: 6ms, render: 45ms)
 GET /test-budget-alerts 200 in 64ms (compile: 4ms, proxy.ts: 6ms, render: 54ms)
 GET /test-budget-alerts 200 in 64ms (compile: 4ms, proxy.ts: 4ms, render: 55ms)
 GET /test-budget-alerts 200 in 56ms (compile: 4ms, proxy.ts: 5ms, render: 48ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 7ms, render: 49ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 61ms (compile: 4ms, proxy.ts: 7ms, render: 50ms)
 GET /test-budget-alerts 200 in 53ms (compile: 5ms, proxy.ts: 5ms, render: 43ms)
 GET /test-budget-alerts 200 in 60ms (compile: 5ms, proxy.ts: 4ms, render: 51ms)
 GET /test-budget-alerts 200 in 65ms (compile: 4ms, proxy.ts: 6ms, render: 55ms)
 GET /test-budget-alerts 200 in 63ms (compile: 5ms, proxy.ts: 7ms, render: 51ms)
 GET /test-budget-alerts 200 in 57ms (compile: 4ms, proxy.ts: 6ms, render: 46ms)
 GET /test-budget-alerts 200 in 54ms (compile: 4ms, proxy.ts: 7ms, render: 43ms)
 GET /test-budget-alerts 200 in 57ms (compile: 4ms, proxy.ts: 5ms, render: 47ms)
 GET /test-budget-alerts 200 in 64ms (compile: 4ms, proxy.ts: 6ms, render: 55ms)
 GET /test-budget-alerts 200 in 62ms (compile: 4ms, proxy.ts: 7ms, render: 51ms)
 GET /test-budget-alerts 200 in 61ms (compile: 5ms, proxy.ts: 7ms, render: 49ms)
 GET /test-budget-alerts 200 in 61ms (compile: 5ms, proxy.ts: 5ms, render: 51ms)
 GET /test-budget-alerts 200 in 72ms (compile: 5ms, proxy.ts: 4ms, render: 63ms)
 GET /test-budget-alerts 200 in 82ms (compile: 4ms, proxy.ts: 4ms, render: 74ms)
 GET /test-budget-alerts 200 in 73ms (compile: 4ms, proxy.ts: 6ms, render: 62ms)
 GET /test-budget-alerts 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 48ms)
 GET /test-budget-alerts 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /test-budget-alerts 200 in 61ms (compile: 4ms, proxy.ts: 5ms, render: 51ms)
 GET /test-budget-alerts 200 in 66ms (compile: 5ms, proxy.ts: 6ms, render: 56ms)
 GET /test-budget-alerts 200 in 65ms (compile: 4ms, proxy.ts: 8ms, render: 52ms)
 GET /test-budget-alerts 200 in 65ms (compile: 5ms, proxy.ts: 8ms, render: 53ms)
 GET /test-budget-alerts 200 in 71ms (compile: 5ms, proxy.ts: 6ms, render: 60ms)
 GET /test-budget-alerts 200 in 69ms (compile: 5ms, proxy.ts: 8ms, render: 56ms)
 GET /test-budget-alerts 200 in 62ms (compile: 4ms, proxy.ts: 6ms, render: 52ms)
 GET /test-budget-alerts 200 in 60ms (compile: 5ms, proxy.ts: 8ms, render: 47ms)
 GET /test-budget-alerts 200 in 54ms (compile: 4ms, proxy.ts: 5ms, render: 45ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /test-budget-alerts 200 in 40ms (compile: 4ms, proxy.ts: 7ms, render: 29ms)
 GET /test-budget-alerts 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-budget-alerts 200 in 68ms (compile: 4ms, proxy.ts: 4ms, render: 61ms)
 GET /test-budget-alerts 200 in 74ms (compile: 13ms, proxy.ts: 6ms, render: 55ms)
 GET /test-budget-alerts 200 in 42ms (compile: 6ms, proxy.ts: 8ms, render: 29ms)
 GET /test-budget-alerts 200 in 54ms (compile: 7ms, proxy.ts: 6ms, render: 42ms)
 GET /test-budget-alerts 200 in 35ms (compile: 3ms, proxy.ts: 5ms, render: 27ms)
 GET /test-budget-alerts 200 in 61ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /test-budget-alerts 200 in 54ms (compile: 5ms, proxy.ts: 5ms, render: 44ms)
 GET /test-budget-alerts 200 in 51ms (compile: 5ms, proxy.ts: 5ms, render: 41ms)
 GET /test-budget-alerts 200 in 53ms (compile: 4ms, proxy.ts: 6ms, render: 44ms)
 GET /test-budget-alerts 200 in 60ms (compile: 4ms, proxy.ts: 4ms, render: 52ms)
 GET /test-budget-alerts 200 in 58ms (compile: 5ms, proxy.ts: 6ms, render: 47ms)
 GET /test-budget-alerts 200 in 52ms (compile: 3ms, proxy.ts: 5ms, render: 44ms)
 GET /test-budget-alerts 200 in 53ms (compile: 4ms, proxy.ts: 7ms, render: 43ms)
 GET /test-budget-alerts 200 in 56ms (compile: 4ms, proxy.ts: 6ms, render: 46ms)
 GET /test-budget-alerts 200 in 62ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /test-budget-alerts 200 in 67ms (compile: 5ms, proxy.ts: 10ms, render: 52ms)
 GET /test-budget-alerts 200 in 71ms (compile: 5ms, proxy.ts: 7ms, render: 59ms)
 GET /test-budget-alerts 200 in 101ms (compile: 7ms, proxy.ts: 7ms, render: 87ms)
 GET /test-budget-alerts 200 in 80ms (compile: 4ms, proxy.ts: 26ms, render: 50ms)
 GET /test-budget-alerts 200 in 61ms (compile: 3ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 62ms (compile: 5ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 60ms (compile: 5ms, proxy.ts: 5ms, render: 50ms)
 GET /test-budget-alerts 200 in 59ms (compile: 4ms, proxy.ts: 5ms, render: 49ms)
 GET /test-budget-alerts 200 in 57ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET /test-budget-alerts 200 in 58ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /test-budget-alerts 200 in 63ms (compile: 5ms, proxy.ts: 5ms, render: 53ms)
 GET /test-budget-alerts 200 in 65ms (compile: 5ms, proxy.ts: 6ms, render: 53ms)
 GET /test-budget-alerts 200 in 61ms (compile: 5ms, proxy.ts: 6ms, render: 50ms)
 GET /test-budget-alerts 200 in 57ms (compile: 5ms, proxy.ts: 7ms, render: 45ms)
 GET /test-budget-alerts 200 in 58ms (compile: 5ms, proxy.ts: 4ms, render: 49ms)
 GET /test-budget-alerts 200 in 59ms (compile: 3ms, proxy.ts: 7ms, render: 49ms)
 GET /test-budget-alerts 200 in 62ms (compile: 5ms, proxy.ts: 6ms, render: 51ms)
 GET /test-budget-alerts 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /test-budget-alerts 200 in 64ms (compile: 5ms, proxy.ts: 6ms, render: 53ms)
 GET /test-budget-alerts 200 in 66ms (compile: 15ms, proxy.ts: 4ms, render: 47ms)
 GET /test-budget-alerts 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 26ms)
 GET /test-budget-alerts 200 in 54ms (compile: 5ms, proxy.ts: 6ms, render: 43ms)
 GET /test-budget-alerts 200 in 48ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET /test-budget-alerts 200 in 46ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET /test-budget-alerts 200 in 51ms (compile: 4ms, proxy.ts: 4ms, render: 44ms)
