▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3130
- Network:       http://192.168.86.37:3130
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1089ms
 GET /api/health 200 in 947ms (compile: 417ms, proxy.ts: 133ms, render: 398ms)
 GET / 200 in 2.1s (compile: 1943ms, proxy.ts: 6ms, render: 174ms)
 GET /login 200 in 510ms (compile: 414ms, proxy.ts: 8ms, render: 88ms)
 GET /login 200 in 54ms (compile: 5ms, proxy.ts: 7ms, render: 42ms)
 GET /login 200 in 228ms (compile: 83ms, proxy.ts: 76ms, render: 69ms)
 GET /login 200 in 72ms (compile: 5ms, proxy.ts: 11ms, render: 56ms)
 GET /login 200 in 42ms (compile: 7ms, proxy.ts: 10ms, render: 26ms)
 GET /login 200 in 57ms (compile: 7ms, proxy.ts: 7ms, render: 43ms)
 GET /login 200 in 39ms (compile: 4ms, proxy.ts: 6ms, render: 29ms)
 GET /login 200 in 60ms (compile: 7ms, proxy.ts: 7ms, render: 46ms)
 GET /login 200 in 54ms (compile: 4ms, proxy.ts: 5ms, render: 45ms)
 GET /login 200 in 56ms (compile: 5ms, proxy.ts: 6ms, render: 44ms)
 GET /login 200 in 57ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 66ms (compile: 4ms, proxy.ts: 7ms, render: 55ms)
 GET /login 200 in 66ms (compile: 6ms, proxy.ts: 7ms, render: 53ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 7ms, render: 46ms)
 GET /login 200 in 55ms (compile: 4ms, proxy.ts: 7ms, render: 44ms)
 GET /login 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 46ms)
 GET /login 200 in 59ms (compile: 5ms, proxy.ts: 5ms, render: 49ms)
 GET /login 200 in 55ms (compile: 4ms, proxy.ts: 6ms, render: 45ms)
 GET /login 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 46ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 7ms, render: 26ms)
 GET /login 200 in 43ms (compile: 7ms, proxy.ts: 8ms, render: 29ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 7ms, render: 25ms)
 GET /login 200 in 59ms (compile: 5ms, proxy.ts: 5ms, render: 48ms)
 GET /login 200 in 69ms (compile: 4ms, proxy.ts: 6ms, render: 59ms)
 GET /login 200 in 83ms (compile: 6ms, proxy.ts: 7ms, render: 70ms)
 GET /login 200 in 69ms (compile: 5ms, proxy.ts: 10ms, render: 54ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 56ms (compile: 6ms, proxy.ts: 6ms, render: 43ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 5ms, render: 48ms)
 GET /login 200 in 67ms (compile: 4ms, proxy.ts: 8ms, render: 55ms)
 GET /login 200 in 65ms (compile: 6ms, proxy.ts: 7ms, render: 52ms)
 GET /login 200 in 38ms (compile: 4ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 53ms)
 GET /login 200 in 41ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /login 200 in 39ms (compile: 8ms, proxy.ts: 8ms, render: 23ms)
 GET /login 200 in 58ms (compile: 6ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 51ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 57ms (compile: 6ms, proxy.ts: 6ms, render: 45ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 57ms (compile: 6ms, proxy.ts: 5ms, render: 46ms)
 GET /login 200 in 58ms (compile: 5ms, proxy.ts: 5ms, render: 48ms)
 GET /login 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 46ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 68ms (compile: 6ms, proxy.ts: 7ms, render: 56ms)
 GET /login 200 in 64ms (compile: 5ms, proxy.ts: 12ms, render: 46ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 76ms (compile: 8ms, proxy.ts: 5ms, render: 63ms)
 GET /login 200 in 71ms (compile: 8ms, proxy.ts: 11ms, render: 52ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 8ms, render: 26ms)
 GET /login 200 in 59ms (compile: 5ms, proxy.ts: 7ms, render: 47ms)
 GET /login 200 in 58ms (compile: 5ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 53ms)
 GET /login 200 in 38ms (compile: 3ms, proxy.ts: 12ms, render: 23ms)
 GET /login 200 in 52ms (compile: 5ms, proxy.ts: 6ms, render: 42ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 35ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
