▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4444
- Network:       http://192.168.86.37:4444
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1058ms
 GET /api/health 200 in 746ms (compile: 377ms, proxy.ts: 128ms, render: 241ms)
 GET /test-sovereignty-gating 200 in 1899ms (compile: 1744ms, proxy.ts: 6ms, render: 149ms)
 GET /test-sovereignty-gating 200 in 255ms (compile: 184ms, proxy.ts: 14ms, render: 58ms)
 GET /test-sovereignty-gating 200 in 472ms (compile: 219ms, proxy.ts: 109ms, render: 145ms)
 GET /test-sovereignty-gating 200 in 116ms (compile: 30ms, proxy.ts: 26ms, render: 60ms)
 GET /test-sovereignty-gating 200 in 41ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /test-sovereignty-gating 200 in 41ms (compile: 7ms, proxy.ts: 6ms, render: 28ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 7ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 5ms, proxy.ts: 6ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 3ms, proxy.ts: 4ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 68ms (compile: 6ms, proxy.ts: 5ms, render: 56ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 7ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 61ms (compile: 4ms, proxy.ts: 4ms, render: 52ms)
 GET /test-sovereignty-gating 200 in 71ms (compile: 3ms, proxy.ts: 5ms, render: 63ms)
 GET /test-sovereignty-gating 200 in 51ms (compile: 9ms, proxy.ts: 11ms, render: 31ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 5ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 52ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
